doctor_id,department_id,first_name,last_name,specialization,experience_years,salary,phone,email,joining_date
1,1,Amara,Agate,Psychiatrist,9,2369499,4997278755,doctor1@hospital.com,2015-08-17
2,1,Ekanta,Gulati,Psychiatrist,12,1768303,9636057662,doctor2@hospital.com,2016-07-25
3,1,Garima,Chaudhry,Psychiatrist,30,1647764,1870262174,doctor3@hospital.com,2019-07-08
4,1,Falguni,Walla,Psychiatrist,5,2458625,5780913431,doctor4@hospital.com,2015-05-24
5,1,Chandani,Balakrishnan,Psychiatrist,7,812182,5045562386,doctor5@hospital.com,2010-01-07
6,2,Lavanya,Khosla,Dermatologist,6,1591447,9237474074,doctor6@hospital.com,2015-05-09
7,2,Hemani,Mistry,Dermatologist,11,2304624,4743671369,doctor7@hospital.com,2026-05-16
8,3,Chakrika,Bains,Emergency Physician,31,1496521,4090974395,doctor8@hospital.com,2011-07-13
9,3,Laksh,Chatterjee,Emergency Physician,26,845934,4709521456,doctor9@hospital.com,2022-04-01
10,3,Jasmit,Wali,Emergency Physician,11,2189528,2474517123,doctor10@hospital.com,2008-04-28
11,3,Megha,Atwal,Emergency Physician,1,2237547,8175496513,doctor11@hospital.com,2024-03-15
12,3,Falak,Kant,Emergency Physician,17,2508443,7461200471,doctor12@hospital.com,2009-03-26
13,4,Sudiksha,Prabhakar,Oncologist,28,2931061,9261796405,doctor13@hospital.com,2025-07-12
14,4,Janani,Chaudhary,Oncologist,32,1249264,8506431713,doctor14@hospital.com,2022-04-03
15,4,Yagnesh,Dass,Oncologist,13,1844482,1839335290,doctor15@hospital.com,2017-04-28
16,4,Owen,Choudhary,Oncologist,14,845296,2053950240,doctor16@hospital.com,2008-10-16
17,5,Devansh,Soni,Cardiologist,21,839768,5891783908,doctor17@hospital.com,2007-09-26
18,5,Varenya,Ratti,Cardiologist,4,3050218,1771159212,doctor18@hospital.com,2017-06-26
19,6,Ekta,Raj,Ophthalmologist,33,2827704,7896118367,doctor19@hospital.com,2023-01-25
20,6,Mohini,Sagar,Ophthalmologist,11,838570,5654527111,doctor20@hospital.com,2021-05-30
21,6,Kashish,De,Ophthalmologist,33,936011,9885165604,doctor21@hospital.com,2008-08-03
22,6,Yashica,Kala,Ophthalmologist,12,887399,7315851493,doctor22@hospital.com,2018-10-16
23,6,Atharv,Loke,Ophthalmologist,5,3432046,2445502296,doctor23@hospital.com,2008-05-09
24,7,Tanveer,Puri,General Physician,26,1102840,7525459910,doctor24@hospital.com,2007-07-07
25,7,Finn,Magar,General Physician,16,3028162,6797643815,doctor25@hospital.com,2020-01-31
26,7,Vidhi,Vyas,General Physician,3,3197874,0369003432,doctor26@hospital.com,2008-12-01
27,8,Widisha,Sani,Neurologist,27,3357222,2683885160,doctor27@hospital.com,2024-12-10
28,8,Dhriti,Sanghvi,Neurologist,34,1926951,6416052975,doctor28@hospital.com,2011-05-21
29,9,Nandini,Viswanathan,Pediatrician,14,3409034,6453521818,doctor29@hospital.com,2013-07-16
30,9,Manbir,Keer,Pediatrician,21,1601121,2432921277,doctor30@hospital.com,2020-02-21
31,9,Ekantika,Mutti,Pediatrician,17,2260046,7177449058,doctor31@hospital.com,2015-07-23
32,9,Dakshesh,Pillay,Pediatrician,9,3417272,1199867980,doctor32@hospital.com,2012-12-12
33,10,Vamakshi,Thaker,Pulmonologist,30,1926143,0715182037,doctor33@hospital.com,2018-09-18
34,10,Januja,Pradhan,Pulmonologist,5,639071,6659051518,doctor34@hospital.com,2020-12-28
35,10,Mason,Nath,Pulmonologist,30,3205330,9254629148,doctor35@hospital.com,2019-12-03
36,10,Girik,Sampath,Pulmonologist,7,907277,0542357332,doctor36@hospital.com,2023-05-29
37,11,Harrison,Tripathi,Oncologist,33,1712331,5929622292,doctor37@hospital.com,2013-10-21
38,11,Wazir,Sawhney,Oncologist,9,2063849,7383473597,doctor38@hospital.com,2016-07-29
39,11,Omya,Edwin,Oncologist,5,1624603,9240758181,doctor39@hospital.com,2011-12-22
40,12,Yochana,Din,Psychiatrist,19,1261638,1375060685,doctor40@hospital.com,2014-01-06
41,12,Ayaan,Nagar,Psychiatrist,29,2878421,5220472779,doctor41@hospital.com,2011-08-21
42,12,Mason,Wable,Psychiatrist,20,3165562,1434103697,doctor42@hospital.com,2018-06-15
43,12,Amol,Varma,Psychiatrist,34,632812,2460953962,doctor43@hospital.com,2007-11-15
44,13,Yashica,Tripathi,Pulmonologist,7,1163257,6706540515,doctor44@hospital.com,2021-03-22
45,13,Gaurangi,Deol,Pulmonologist,17,1084142,5852772217,doctor45@hospital.com,2007-05-25
46,13,Ryan,Barman,Pulmonologist,7,2920388,4868740345,doctor46@hospital.com,2009-01-03
